subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Baldwin,v01,1,0.0,10.00100040435791,1774419864.908926,1774419874.8765898,10.00100040435791,87.88495283833844,1,87.02178098976104,0.8631718485773945,1,77.20444439425562,10.680508444082818,video_RAW_YUV420
Baldwin,v01,2,10.034072160720825,20.048510789871216,1774419874.9429982,1774419884.9240553,10.01443862915039,86.94446900971691,2,85.12278523290078,1.8216837768161298,2,84.18689706300192,2.7575719467149895,video_RAW_YUV420
Baldwin,v01,3,20.241000175476074,30.08197259902954,1774419885.1499262,1774419894.9575393,9.840972423553467,87.46269297671023,3,86.02287397108435,1.4398190056258784,3,68.06524880408344,19.39744417262679,video_RAW_YUV420
Baldwin,v01,4,30.604000091552734,40.096558809280396,1774419895.512926,1774419904.9721775,9.492558717727661,87.24648830619886,4,87.0268953331287,0.21959297307014936,4,88.65805712315913,1.4115688169602691,video_RAW_YUV420
Baldwin,v01,5,40.76699995994568,50.11868333816528,1774419905.675926,1774419914.9943295,9.351683378219604,86.33286243812333,5,85.61591121521944,0.7169512229038872,5,97.05447519668394,10.72161275856061,video_RAW_YUV420
Benny,v01,1,0.0,10.031384706497192,1774420147.0993187,1774420157.0973766,10.031384706497192,76.09370951157625,1,77.4922300790194,1.3985205674431427,1,42.08901713673841,34.00469237483784,video_RAW_YUV420
Benny,v01,2,10.089999914169312,20.04788041114807,1774420157.1893187,1774420167.1138952,9.95788049697876,77.66152197719656,2,65.51007635314748,12.151445624049074,2,71.17605404036571,6.485467936830844,android_311YJP3P3080D200020
Benny,v01,3,20.394999980926514,30.063231945037842,1774420167.4943187,1774420177.129212,9.668231964111328,73.66712887393946,3,47.01384994841265,26.653278925526813,3,75.09662424065378,1.4294953667143204,android_311YJP3P3080D200020
Benny,v01,4,30.703999996185303,40.0964195728302,1774420177.8033187,1774420187.162432,9.392419576644897,76.03961843186214,4,75.18589704380531,0.853721388056826,4,140.02425167896342,63.984633247101286,video_RAW_YUV420
Benny,v01,5,40.875,50.113158226013184,1774420187.9743187,1774420197.1791263,9.238158226013184,83.61566857833628,5,83.40370453340974,0.21196404492654608,5,116.01123934147503,32.39557076313875,video_RAW_YUV420
Cyrus Lai,v01,1,0.0,10.004618644714355,1774422003.413094,1774422013.384364,10.004618644714355,76.30711370079493,1,41.090237665373905,35.21687603542102,1,79.27476048315471,2.967646782359779,android_311YJP3P3080D200020
Cyrus Lai,v01,2,10.031999826431274,20.000717163085938,1774422013.4450939,1774422023.380471,9.968717336654663,70.97572830501707,2,72.04827051700576,1.07254221198869,2,84.78647806328249,13.810749758265416,video_RAW_YUV420
Cyrus Lai,v01,3,20.167999982833862,30.000898122787476,1774422023.581094,1774422033.3806603,9.832898139953613,83.19939837822972,3,59.43577454170704,23.763623836522676,3,49.13850943880064,34.06088893942908,video_RAW_YUV420
Cyrus Lai,v01,4,30.43399977684021,40.00263071060181,1774422033.8470938,1774422043.3823845,9.568630933761597,83.96292883340443,4,71.30009502654082,12.662833806863617,4,87.32790864274355,3.3649798093391183,android_311YJP3P3080D200020
Cyrus Lai,v01,5,40.79899978637695,49.98808479309082,1774422044.2120938,1774422053.367885,9.189085006713867,69.85737586189325,5,70.24842443144368,0.3910485695504349,5,44.6441209074667,25.213254954426546,video_RAW_YUV420
Eric,v01,1,0.0,10.001672744750977,1774418925.023302,1774418934.9916358,10.001672744750977,59.67001016184193,1,58.592322139833335,1.0776880220085943,1,69.91655794052849,10.246547778686562,video_RAW_YUV420
Eric,v01,2,10.089999914169312,19.98497986793518,1774418935.113302,1774418944.9749656,9.89497995376587,59.51684126384642,2,60.67613682355845,1.159295559712028,2,106.13908582600897,46.62224456216254,video_RAW_YUV420
Eric,v01,3,20.25599980354309,29.983981370925903,1774418945.279302,1774418954.9739685,9.727981567382812,60.12185561843751,3,56.872721176246856,3.249134442190652,3,72.00775224195364,11.885896623516132,video_RAW_YUV420
Eric,v01,4,30.555999994277954,39.9849534034729,1774418955.579302,1774418964.9749377,9.428953409194946,58.62787957907821,4,59.74640867536754,1.118529096289329,4,63.59499694885602,4.96711736977781,video_RAW_YUV420
Eric,v01,5,40.88800001144409,49.984299659729004,1774418965.911302,1774418974.974282,9.096299648284912,61.51896050186,5,61.80851137893127,0.2895508770712709,5,138.99999722304682,77.48103672118683,video_RAW_YUV420
Felix Lee,v01,1,0.0,10.000458240509033,1774421414.443734,1774421424.4108572,10.000458240509033,83.03090502564794,1,83.32805929843138,0.29715427278344464,1,78.45672483346969,4.574180192178247,video_RAW_YUV420
